,EntityName,Count,Amount,Type,Year,Quartile
120,560001,111898471,154275126291.57785,pincode,2021,1
121,500001,107274281,218270126529.36053,pincode,2021,1
122,411004,99287169,142692099313.18896,pincode,2021,1
123,302016,65639307,124138636281.23145,pincode,2021,1
124,110006,46104924,76683904356.11441,pincode,2021,1
125,462008,45920869,76097617508.03972,pincode,2021,1
126,800001,30937663,68071234953.67711,pincode,2021,1
127,600003,25512152,44939868773.04714,pincode,2021,1
128,400070,25090098,39416189451.46673,pincode,2021,1
129,751001,24151383,44482729136.236565,pincode,2021,1
130,500001,148864777,315432046413.6635,pincode,2021,2
131,560001,123224371,183498284704.3348,pincode,2021,2
132,411004,120795663,186134320440.93646,pincode,2021,2
133,302016,81782827,152295120262.96942,pincode,2021,2
134,462008,57596018,101902493881.58667,pincode,2021,2
135,110006,54888173,88849307061.74399,pincode,2021,2
136,800001,42836603,91781680811.21812,pincode,2021,2
137,600003,31694305,54282023022.639435,pincode,2021,2
138,751001,30961581,53565783087.01067,pincode,2021,2
139,700009,30775525,59587220231.94326,pincode,2021,2
140,500001,173430239,335290201877.6652,pincode,2021,3
141,560001,171396431,241306340924.00638,pincode,2021,3
142,411004,155523883,217400690972.0777,pincode,2021,3
143,302016,108659324,179936124302.00922,pincode,2021,3
144,110006,77515502,117511789786.64261,pincode,2021,3
145,462008,74987334,111259178579.96481,pincode,2021,3
146,800001,49086869,90644799090.27641,pincode,2021,3
147,444510,45378525,84950919432.04364,pincode,2021,3
148,600003,42982007,71274098295.90457,pincode,2021,3
149,751001,41875475,65849220632.325775,pincode,2021,3
150,500001,213053128,398798138080.5086,pincode,2021,4
151,560001,206723470,283864051273.69073,pincode,2021,4
152,411004,185423020,259406175394.85846,pincode,2021,4
153,302016,130544931,225546213678.03116,pincode,2021,4
154,462008,97987017,145639258182.99155,pincode,2021,4
155,110006,96850347,152021116180.99402,pincode,2021,4
156,800001,61784983,113485175570.40105,pincode,2021,4
157,444510,55162139,103212697006.96257,pincode,2021,4
158,600003,54054310,83084090738.55415,pincode,2021,4
159,751001,52532360,79093274940.53792,pincode,2021,4
160,500001,248675599,460948755722.1826,pincode,2022,1
161,560001,224793308,308663371704.65454,pincode,2022,1
162,411004,209101358,285005833904.6318,pincode,2022,1
163,302016,148956604,248958961898.95383,pincode,2022,1
164,462008,119378084,172143368941.8931,pincode,2022,1
165,110006,112708284,170854549748.09644,pincode,2022,1
166,444510,69862188,129741278088.80704,pincode,2022,1
167,800001,68427326,126972470461.14954,pincode,2022,1
168,600003,62446149,95888452779.63263,pincode,2022,1
169,751001,58525215,91210203433.81744,pincode,2022,1
170,500001,296874552,536659038240.45605,pincode,2022,2
171,560001,271515853,367011500113.69904,pincode,2022,2
172,411004,262731186,356436998068.0399,pincode,2022,2
173,302016,181570316,290408785688.9401,pincode,2022,2
174,110006,139136098,200269818218.75818,pincode,2022,2
175,462008,137837715,198147341166.69937,pincode,2022,2
176,444510,93575752,168031360482.06287,pincode,2022,2
177,800001,90260337,162195041186.36075,pincode,2022,2
178,600003,75241472,108938946466.4329,pincode,2022,2
179,751001,69262961,101369063330.80547,pincode,2022,2
180,500034,832279716,1276247184385.9084,pincode,2022,3
181,110006,222465526,294132832922.7636,pincode,2022,3
182,302012,220682742,322546632329.7969,pincode,2022,3
183,411033,217102802,241609848561.36987,pincode,2022,3
184,480001,164538285,229267141662.06653,pincode,2022,3
185,560027,160449902,217879670192.8064,pincode,2022,3
186,800001,143978604,226644911906.22284,pincode,2022,3
187,400070,137051260,170363147506.6858,pincode,2022,3
188,751001,123281915,161654599037.78528,pincode,2022,3
189,700039,82900479,153815755896.1881,pincode,2022,3
190,500034,967508435,1501499856273.482,pincode,2022,4
191,560027,290033166,383980424744.5664,pincode,2022,4
192,411033,263248580,298971294541.89966,pincode,2022,4
193,110006,258183697,349487194869.16797,pincode,2022,4
194,302012,255709582,401447081116.4074,pincode,2022,4
195,480001,240053791,341860974379.64307,pincode,2022,4
196,400070,180508440,226320223720.0673,pincode,2022,4
197,800001,167166031,269652534972.60126,pincode,2022,4
198,751001,140210762,184650659638.9054,pincode,2022,4
199,700039,119193886,219834107643.85355,pincode,2022,4
